,Fecha,Operador,Ruta Detallada,Tipo aeronave_accidente,Pasajeros,Tripulacion,Pasajeros_Fallecidos,Tripulantes_Fallecidos,Muertos_en_tierra,resumen
0,1908-09-17,Military - U.S. Army,Demonstration,Wright Flyer III,1,1,1,0,0,"During a demonstration flight, a U.S. Army flyer flown by Orville Wright nose-dived into the ground from a height of approximately 75 feet, killing Lt. Thomas E. Selfridge, 26, who was a passenger. This was the first recorded airplane fatality in history.  One of two propellers separated in flight, tearing loose the wires bracing the rudder and causing the loss of control of the aircraft.  Orville Wright suffered broken ribs, pelvis and a leg.  Selfridge suffered a crushed skull and died a short time later."
1,1909-09-07,Sin dato,Air show,Wright Byplane,0,1,0,0,0,"Eugene Lefebvre was the first pilot to ever be killed in an air accident, after his controls jambed while flying in an air show."
2,1912-07-12,Military - U.S. Navy,Test flight,Dirigible,0,5,0,5,0,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
3,1913-08-06,Private,Sin dato,Curtiss seaplane,0,1,0,1,0,"The first fatal airplane accident in Canada occurred when American barnstormer, John M. Bryant, California aviator was killed."
4,1913-09-09,Military - German Navy,Sin dato,Zeppelin L-1 (airship),0,0,0,0,0,The airship flew into a thunderstorm and encountered a severe downdraft crashing 20 miles north of Helgoland Island into the sea. The ship broke in two and the control car immediately sank drowning its occupants.
5,1913-10-17,Military - German Navy,Sin dato,Zeppelin L-2 (airship),0,0,0,0,0,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft..German Navy's Zeppelin airships L-4 and L-5 were blown out to sea in February 1915, never to be seen again."
6,1915-03-05,Military - German Navy,Sin dato,Zeppelin L-8 (airship),0,41,0,17,0,Crashed into trees while attempting to land after being shot down by British and French aircraft.
7,1915-09-03,Military - German Navy,Sin dato,Zeppelin L-10 (airship),0,0,0,0,0,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
8,1916-07-28,Military - German Army,Sin dato,Schutte-Lanz S-L-10 (airship),0,0,0,0,0,"Crashed near the Black Sea, cause unknown."
9,1916-09-24,Military - German Navy,Sin dato,Zeppelin L-32 (airship),0,0,0,0,0,Shot down by British aircraft crashing in flames.
